Project,SOW Pole,OneMap Pole,Match Type,Confidence,Distance (m),Verification Status
"louissep15","LAW.P.A097","LAW.P.A097","numeric_suffix",95%,,
"louissep15","LAW.P.A098","LAW.P.A098","numeric_suffix",95%,,
"louissep15","LAW.P.A099","LAW.P.A099","numeric_suffix",95%,,
"louissep15","LAW.P.A100","LAW.P.A100","numeric_suffix",95%,,
"louissep15","LAW.P.A101","LAW.P.A101","numeric_suffix",95%,,
"louissep15","LAW.P.A102","LAW.P.A102","numeric_suffix",95%,,
"louissep15","LAW.P.A103","LAW.P.A103","numeric_suffix",95%,,
"louissep15","LAW.P.A104","LAW.P.A104","numeric_suffix",95%,,
"louissep15","LAW.P.A105","LAW.P.A105","numeric_suffix",95%,,
"louissep15","LAW.P.A106","LAW.P.A106","numeric_suffix",95%,,
"louissep15","LAW.P.A107","LAW.P.A107","numeric_suffix",95%,,
"louissep15","LAW.P.A108","LAW.P.A108","numeric_suffix",95%,,
"louissep15","LAW.P.A109","LAW.P.A109","numeric_suffix",95%,,
"louissep15","LAW.P.A110","LAW.P.A110","numeric_suffix",95%,,
"louissep15","LAW.P.A111","LAW.P.A111","numeric_suffix",95%,,
"louissep15","LAW.P.A112","LAW.P.A112","numeric_suffix",95%,,
"louissep15","LAW.P.A113","LAW.P.A113","numeric_suffix",95%,,
"louissep15","LAW.P.A114","LAW.P.A114","numeric_suffix",95%,,
"louissep15","LAW.P.A115","LAW.P.A115","numeric_suffix",95%,,
"louissep15","LAW.P.A116","LAW.P.A116","numeric_suffix",95%,,
"louissep15","LAW.P.A117","LAW.P.A117","numeric_suffix",95%,,
"louissep15","LAW.P.A118","LAW.P.A118","numeric_suffix",95%,,
"louissep15","LAW.P.A119","LAW.P.A119","numeric_suffix",95%,,
"louissep15","LAW.P.A120","LAW.P.A120","numeric_suffix",95%,,
"louissep15","LAW.P.A121","LAW.P.A121","numeric_suffix",95%,,
"louissep15","LAW.P.A122","LAW.P.A122","numeric_suffix",95%,,
"louissep15","LAW.P.A123","LAW.P.A123","numeric_suffix",95%,,
"louissep15","LAW.P.A124","LAW.P.A124","numeric_suffix",95%,,
"louissep15","LAW.P.A125","LAW.P.A125","numeric_suffix",95%,,
"louissep15","LAW.P.A126","LAW.P.A126","numeric_suffix",95%,,
"louissep15","LAW.P.A127","LAW.P.A127","numeric_suffix",95%,,
"louissep15","LAW.P.A128","LAW.P.A128","numeric_suffix",95%,,
"louissep15","LAW.P.A129","LAW.P.A129","numeric_suffix",95%,,
"louissep15","LAW.P.A130","LAW.P.A130","numeric_suffix",95%,,
"louissep15","LAW.P.A131","LAW.P.A131","numeric_suffix",95%,,
"louissep15","LAW.P.A132","LAW.P.A132","numeric_suffix",95%,,
"louissep15","LAW.P.A133","LAW.P.A133","numeric_suffix",95%,,
"louissep15","LAW.P.A134","LAW.P.A134","numeric_suffix",95%,,
"louissep15","LAW.P.A135","LAW.P.A135","numeric_suffix",95%,,
"louissep15","LAW.P.A136","LAW.P.A136","numeric_suffix",95%,,
"louissep15","LAW.P.A137","LAW.P.A137","numeric_suffix",95%,,
"louissep15","LAW.P.A138","LAW.P.A138","numeric_suffix",95%,,
"louissep15","LAW.P.A139","LAW.P.A139","numeric_suffix",95%,,
"louissep15","LAW.P.A140","LAW.P.A140","numeric_suffix",95%,,
"louissep15","LAW.P.A141","LAW.P.A141","numeric_suffix",95%,,
"louissep15","LAW.P.A143","LAW.P.A143","numeric_suffix",95%,,
"louissep15","LAW.P.A144","LAW.P.A144","numeric_suffix",95%,,
"louissep15","LAW.P.A145","LAW.P.A145","numeric_suffix",95%,,
"louissep15","LAW.P.A146","LAW.P.A146","numeric_suffix",95%,,
"louissep15","LAW.P.A147","LAW.P.A147","numeric_suffix",95%,,
"louissep15","LAW.P.A148","LAW.P.A148","numeric_suffix",95%,,
"louissep15","LAW.P.A149","LAW.P.A149","numeric_suffix",95%,,
"louissep15","LAW.P.A150","LAW.P.A150","numeric_suffix",95%,,
"louissep15","LAW.P.A151","LAW.P.A151","numeric_suffix",95%,,
"louissep15","LAW.P.A152","LAW.P.A152","numeric_suffix",95%,,
"louissep15","LAW.P.A153","LAW.P.A153","numeric_suffix",95%,,
"louissep15","LAW.P.A154","LAW.P.A154","numeric_suffix",95%,,
"louissep15","LAW.P.A155","LAW.P.A155","numeric_suffix",95%,,
"louissep15","LAW.P.A156","LAW.P.A156","numeric_suffix",95%,,
